subbasin,l,Y
COON CREEK 29,19318.20789,13.88431706
COON CREEK 31,7302.034755,9.388731328
COON CREEK 33,14311.62301,12.8274467
COON CREEK 35,11452.76855,21.86332317
Upper Coon Creek A,18219.29181,21.08685235
Upper Coon Creek B,22189.09222,22.82549772
Upper Coon Creek C,20965.32767,24.0048707
Upper Coon Creek D,19826.93364,26.50123862
COON CREEK 14,7857.499347,15.96783978
COON CREEK 15,10795.06055,11.14180624
COON CREEK 16,5364.31813,14.42805621
COON CREEK 17,11440.68237,8.530748751
COON CREEK 21,19917.46777,11.12720583
COON CREEK 23,12328.02231,11.00635952
COON CREEK 24,8974.802541,13.61091304
COON CREEK 25,12500.75613,16.84881311
COON CREEK 41,16814.39125,10.91703462
COON CREEK 53,10362.1218,17.97505938
Timber Coulee A,19990.94513,22.78165891
Timber Coulee B,22014.30284,20.22789798
Timber Coulee C,21892.23875,21.2337725
Timber Coulee D,18140.02164,23.75884735
Timber Coulee E,16843.77921,25.46618412
Timber Coulee F,17174.3788,24.11010954
Timber Coulee G,22807.09022,24.76937594
Middle Coon Creek A,16378.14419,10.30464056
Middle Coon Creek B,16751.33033,17.00746455
Middle Coon Creek C,15517.33718,20.93357039
Middle Coon Creek D,16837.59512,24.60250091
Middle Coon Creek E,12048.25426,24.25533997
Middle Coon Creek F,16032.28608,26.12968349
Middle Coon Creek G,19143.16365,23.62450908
Middle Coon Creek H,15905.4657,21.57507776
Middle Coon Creek I,16036.80052,25.7999833
Middle Coon Creek J,22132.78021,23.93044318
Middle Coon Creek K,20874.9343,22.75204123
Middle Coon Creek L,19148.90251,25.07705959
Middle Coon Creek M,17213.1614,24.71403784
Middle Coon Creek N,25446.15653,20.40510025
Middle Coon Creek O,24491.9835,23.29727347
Middle Coon Creek P,13511.36774,27.35302011
Lower Coon Creek A,21384.81079,25.26296848
Lower Coon Creek B,32174.18178,23.21510364
Lower Coon Creek C,25865.26251,26.27216548
Lower Coon Creek D,22483.09955,23.25533083
Lower Coon Creek E,25039.79,25.03223195
Lower Coon Creek F,33206.50173,25.54951599
Lower Coon Creek G,21484.9688,24.62394721
Lower Coon Creek H,20288.95172,25.75465756
Lower Coon Creek I,25291.83198,25.71597567
Lower Coon Creek J,17671.88758,22.55063992
