Subbasin,l,Y
West _Fork Kickapoo 4,27149.57436,11.34947244
West Fork Kickapoo 5,26274.4928,14.0141718
Seas Branch,22631.96066,19.99029813
West _Fork Kickapoo 17,32408.31586,12.69232377
Bishop A,24709.65133,13.45456894
Bishop B,20113.42703,20.34736631
Bishop C,17170.33144,21.90090674
Bishop D,17845.38132,24.97383668
Harrison Creek A,18302.40279,12.70151833
Harrison Creek B,18324.39616,19.70925336
Harrison Creek C,14063.54756,24.19627918
Harrison Creek D,15795.5822,21.78762919
Harrison Creek E,18508.99383,24.13410076
West Fork Kickapoo A,13077.35763,16.04352128
West Fork Kickapoo B,20464.94557,22.20524084
West Fork Kickapoo C,21367.26532,21.22062762
West Fork Kickapoo D,15214.94838,21.17407619
West Fork Kickapoo E,17185.98655,23.32860646
West Fork Kickapoo F,21662.48443,23.90990478
West Fork Kickapoo G,25860.61667,24.63645326
West Fork Kickapoo H,14641.5183,21.25564089
West Fork Kickapoo I,11850.96022,26.75788957
West Fork Kickapoo J,27266.1568,23.02407866
KLINKNER,17899.00475,10.22904488
MLSNA,13060.08469,10.48652989
WEST FORK KICKAPOO 1,34238.50693,10.97237355
WEST FORK KICKAPOO 3,14679.5616,14.37345497
West Fork Kickapoo 12,11348.49505,16.23440128
West Fork Kickapoo 16,16748.56443,13.65652174
Knapp Creek - WFK A,13055.86364,15.60661863
Knapp Creek - WFK B,15475.84332,17.78079476
Knapp Creek - WFK C,14436.97452,13.13796831
Knapp Creek - WFK D,15083.81115,17.70921333
Knapp Creek - WFK E,14896.61154,22.58131819
Knapp Creek - WFK F,18233.8943,18.68017915
Knapp Creek - WFK G,12685.55857,16.33190448
Knapp Creek - WFK H,14073.70222,21.22811763
Knapp Creek - WFK I,19996.28083,18.96725088
Knapp Creek - WFK J,11872.78213,17.52549476
Knapp Creek - WFK K,21426.91517,22.38342316
Knapp Creek - WFK L,12961.16841,18.54846985
Knapp Creek - WFK M,10501.06329,19.89029318
